status,bed,bath,city,state,house_size,price
for_sale,3.0,2.0,Adjuntas,Puerto Rico,920.0,105000.0
for_sale,4.0,2.0,Adjuntas,Puerto Rico,1527.0,80000.0
for_sale,2.0,1.0,Juana Diaz,Puerto Rico,748.0,67000.0
for_sale,4.0,2.0,Ponce,Puerto Rico,1800.0,145000.0
for_sale,5.0,2.0,Mayaguez,Puerto Rico,2133.0,65000.0
for_sale,4.0,3.0,San Sebastian,Puerto Rico,2520.0,179000.0
for_sale,3.0,1.0,Ciales,Puerto Rico,2040.0,50000.0
for_sale,3.0,2.0,Ponce,Puerto Rico,1050.0,71600.0
for_sale,2.0,1.0,Ponce,Puerto Rico,1092.0,100000.0
for_sale,5.0,3.0,Las Marias,Puerto Rico,3439.75,300000.0
for_sale,3.0,2.0,Isabela,Puerto Rico,1106.0,89000.0
for_sale,3.0,2.0,Juana Diaz,Puerto Rico,1045.0,150000.0
for_sale,3.0,2.0,Lares,Puerto Rico,3439.75,155000.0
for_sale,5.0,2.0,Utuado,Puerto Rico,1620.0,79000.0
for_sale,3.0,2.0,Yauco,Puerto Rico,1100.0,120000.0
for_sale,3.0,2.0,Ponce,Puerto Rico,1500.0,105000.0
for_sale,3.0,2.0,San Sebastian,Puerto Rico,3439.75,575000.0
for_sale,5.0,3.0,Anasco,Puerto Rico,1230.0,140000.0
for_sale,2.0,1.0,Yauco,Puerto Rico,621.0,50000.0
for_sale,5.0,3.0,Moca,Puerto Rico,3000.0,165000.0
for_sale,3.0,1.0,Coamo,Puerto Rico,1213.0,189000.0
for_sale,3.0,2.0,Ponce,Puerto Rico,1148.0,115000.0
for_sale,3.0,2.0,Yauco,Puerto Rico,1118.0,122500.0
for_sale,3.0,2.0,San Sebastian,Puerto Rico,1500.0,255000.0
for_sale,4.0,3.0,Ponce,Puerto Rico,3000.0,425000.0
for_sale,4.0,2.0,Guayanilla,Puerto Rico,1300.0,93000.0
for_sale,4.0,2.0,Manati,Puerto Rico,1080.0,75000.0
for_sale,3.0,2.0,Isabela,Puerto Rico,2505.0,469000.0
for_sale,5.0,3.0,Villalba,Puerto Rico,1943.0,189000.0
for_sale,5.0,4.0,Ponce,Puerto Rico,1600.0,225000.0
for_sale,4.0,2.0,Santa Isabel,Puerto Rico,2886.0,495000.0
for_sale,3.0,1.0,Yauco,Puerto Rico,936.0,70500.0
for_sale,3.0,2.0,Moca,Puerto Rico,1928.0,305000.0
for_sale,4.0,2.0,Las Marias,Puerto Rico,1800.0,120000.0
for_sale,5.0,2.0,Mayaguez,Puerto Rico,3439.75,650000.0
for_sale,5.0,3.0,Ponce,Puerto Rico,3100.0,555000.0
for_sale,3.0,2.0,Moca,Puerto Rico,3439.75,400000.0
for_sale,3.0,2.0,Hatillo,Puerto Rico,2133.0,380000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,600.0,95000.0
for_sale,3.0,1.0,Aguada,Puerto Rico,900.0,74000.0
for_sale,4.0,2.0,Aguada,Puerto Rico,3000.0,139500.0
for_sale,3.0,2.0,Aguada,Puerto Rico,1380.0,249000.0
for_sale,5.0,4.0,Aguada,Puerto Rico,2500.0,252000.0
for_sale,2.0,1.0,Aguada,Puerto Rico,813.0,160000.0
for_sale,2.0,1.0,Aguada,Puerto Rico,813.0,90000.0
for_sale,5.0,3.0,Aguada,Puerto Rico,2962.0,500000.0
for_sale,4.0,2.0,Aguada,Puerto Rico,1955.0,339000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,1200.0,265000.0
for_sale,5.0,2.0,Aguada,Puerto Rico,3439.75,1175000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2500.0,575000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,35000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,58000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,85000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,47000.0
for_sale,5.0,2.0,Aguada,Puerto Rico,2775.0,375000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,50000.0
for_sale,3.0,2.0,Rincon,Puerto Rico,2133.0,1175000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,39500.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,249500.0
for_sale,5.0,3.0,Aguada,Puerto Rico,3439.75,1175000.0
for_sale,5.0,2.0,Aguada,Puerto Rico,2400.0,600000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,649000.0
for_sale,2.0,1.0,Aguada,Puerto Rico,951.0,189000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,150000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,74000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,65500.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,67500.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,130000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,95000.0
for_sale,3.0,2.0,Rincon,Puerto Rico,2133.0,329000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,130000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,94770.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,150000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,165000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2070.0,215000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,1184.0,63000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,1900.0,215000.0
for_sale,3.0,1.0,Aguadilla,Puerto Rico,980.0,115000.0
for_sale,4.0,2.0,Aguadilla,Puerto Rico,1408.0,99000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,1116.0,140000.0
for_sale,4.0,3.0,Aguadilla,Puerto Rico,3439.75,499000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,1500.0,180000.0
for_sale,5.0,3.0,Aguadilla,Puerto Rico,2618.0,225900.0
for_sale,4.0,2.0,Aguadilla,Puerto Rico,1760.0,260000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,31179.0
for_sale,4.0,3.0,Aguadilla,Puerto Rico,2950.0,500000.0
for_sale,3.0,2.0,Aguada,Puerto Rico,1565.0,225000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,28000.0
for_sale,4.0,2.0,Aguadilla,Puerto Rico,3439.75,425000.0
for_sale,4.0,2.0,Aguadilla,Puerto Rico,547.0,300000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,75000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2280.0,290000.0
for_sale,5.0,2.0,Aguadilla,Puerto Rico,2035.0,234900.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,44720.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,35000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,75000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,37000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,37359.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,739500.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,65000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,56406.0
for_sale,5.0,3.0,Aguadilla,Puerto Rico,3267.0,620000.0
for_sale,5.0,3.0,Aguadilla,Puerto Rico,3439.75,649900.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,44995.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,37779.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,60123.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,38279.0
for_sale,3.0,2.0,Aguada,Puerto Rico,2133.0,199900.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,125000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,200000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,150000.0
for_sale,3.0,2.0,Isabela,Puerto Rico,2133.0,1175000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,1000000.0
for_sale,3.0,2.0,Aguadilla,Puerto Rico,2133.0,695000.0
for_sale,5.0,2.0,Maricao,Puerto Rico,2156.0,98000.0
for_sale,5.0,2.0,Maricao,Puerto Rico,2156.0,55000.0
for_sale,5.0,2.0,Maricao,Puerto Rico,1563.0,75000.0
for_sale,3.0,1.0,Maricao,Puerto Rico,915.0,80000.0
for_sale,3.0,2.0,Maricao,Puerto Rico,2133.0,160000.0
for_sale,3.0,1.0,Mayaguez,Puerto Rico,982.0,46900.0
for_sale,5.0,2.0,Hormigueros,Puerto Rico,2000.0,125000.0
for_sale,3.0,2.0,Cabo Rojo,Puerto Rico,1620.0,330000.0
for_sale,3.0,2.0,Mayaguez,Puerto Rico,1760.0,115000.0
for_sale,2.0,1.0,Cabo Rojo,Puerto Rico,1000.0,285000.0
for_sale,5.0,4.0,Mayaguez,Puerto Rico,2200.0,215000.0
for_sale,3.0,2.0,Cabo Rojo,Puerto Rico,1205.0,115000.0
for_sale,3.0,2.0,Mayaguez,Puerto Rico,1200.0,140000.0
for_sale,3.0,1.0,Mayaguez,Puerto Rico,2133.0,87000.0
for_sale,4.0,2.0,Cabo Rojo,Puerto Rico,3052.0,250000.0
for_sale,3.0,1.0,San German,Puerto Rico,894.0,70000.0
for_sale,3.0,1.0,San German,Puerto Rico,363.0,150000.0
for_sale,5.0,2.0,Cabo Rojo,Puerto Rico,3439.75,750000.0
for_sale,3.0,1.0,Mayaguez,Puerto Rico,390.0,125000.0
for_sale,5.0,2.0,Rincon,Puerto Rico,3439.75,950000.0
for_sale,5.0,4.0,Aguada,Puerto Rico,3439.75,1175000.0
for_sale,4.0,3.0,Lajas,Puerto Rico,3439.75,495000.0
for_sale,3.0,1.0,Mayaguez,Puerto Rico,778.0,90000.0
for_sale,3.0,2.0,Cabo Rojo,Puerto Rico,2800.0,395000.0
for_sale,3.0,2.0,Cabo Rojo,Puerto Rico,2133.0,45000.0
for_sale,3.0,2.0,Cabo Rojo,Puerto Rico,2133.0,65000.0
for_sale,3.0,2.0,Cabo Rojo,Puerto Rico,2133.0,80000.0
for_sale,3.0,2.0,Cabo Rojo,Puerto Rico,2133.0,120000.0
for_sale,3.0,2.0,Cabo Rojo,Puerto Rico,2133.0,70000.0
for_sale,3.0,2.0,Hormigueros,Puerto Rico,2133.0,391000.0
for_sale,3.0,2.0,Cabo Rojo,Puerto Rico,2133.0,160000.0
for_sale,3.0,2.0,Cabo Rojo,Puerto Rico,2133.0,290000.0
for_sale,3.0,2.0,Hormigueros,Puerto Rico,2133.0,835000.0
for_sale,3.0,2.0,Mayaguez,Puerto Rico,2133.0,159000.0
for_sale,3.0,2.0,Anasco,Puerto Rico,2133.0,79000.0
for_sale,3.0,2.0,Anasco,Puerto Rico,1687.0,149900.0
for_sale,2.0,1.0,Anasco,Puerto Rico,826.0,106000.0
